,HourlyDryBulbTemperature,HourlyVisibility,HourlyWindSpeed,HourlyWindDirection,HourlyPrecipitation
2023-07-12 03:58:00,0.33333333333333337,0.9971105449574349,0.1855203619909502,0.3003003003003003,0.0
2023-07-12 04:00:00,0.33333333333333337,0.9942210899148698,0.1855203619909502,0.3003003003003003,0.0
2023-07-12 04:24:30,0.33333333333333337,0.9971105449574349,0.1855203619909502,0.2752752752752753,0.0
2023-07-12 04:49:00,0.33333333333333337,1.0,0.1855203619909502,0.2502502502502503,0.0
2023-07-12 04:51:30,0.33666666666666667,1.0,0.17420814479638008,0.2702702702702703,0.0
2023-07-12 04:54:00,0.34,1.0,0.16289592760180996,0.2902902902902903,0.0
2023-07-12 04:55:00,0.33666666666666667,1.0,0.17420814479638008,0.2952952952952953,0.0
2023-07-12 04:56:00,0.33333333333333337,1.0,0.1855203619909502,0.3003003003003003,0.0
2023-07-12 05:12:30,0.33333333333333337,1.0,0.1515837104072398,0.2952952952952953,0.0
2023-07-12 05:29:00,0.33333333333333337,1.0,0.11764705882352941,0.2902902902902903,0.0
2023-07-12 05:42:30,0.3416666666666667,1.0,0.11764705882352941,0.2952952952952953,0.0
2023-07-12 05:56:00,0.35000000000000003,1.0,0.11764705882352941,0.3003003003003003,0.0
2023-07-12 06:26:00,0.3683333333333334,1.0,0.14027149321266968,0.2902902902902903,0.0
2023-07-12 06:56:00,0.38666666666666677,1.0,0.16289592760180996,0.2802802802802803,0.0
2023-07-12 07:26:00,0.3966666666666667,1.0,0.15158371040723984,0.3003003003003003,0.0
2023-07-12 07:56:00,0.4066666666666667,1.0,0.14027149321266968,0.3203203203203203,0.0
2023-07-12 08:15:30,0.42500000000000004,1.0,0.16289592760180993,0.3203203203203203,0.0
2023-07-12 08:35:00,0.4433333333333334,1.0,0.1855203619909502,0.3203203203203203,0.0
2023-07-12 08:45:30,0.45333333333333337,1.0,0.22171945701357465,0.3103103103103103,0.0
2023-07-12 08:56:00,0.4633333333333333,1.0,0.25791855203619907,0.3003003003003003,0.0
2023-07-12 09:26:00,0.4716666666666667,1.0,0.28054298642533937,0.3053053053053053,0.0
2023-07-12 09:56:00,0.48,1.0,0.3031674208144796,0.3103103103103103,0.0
