,system:time_start,NDVI,fitted,NDVI_normalized
2024-05-28 13:00:00,,0.6895667700190371,0.6966101134724669,0.9288644960035377
2024-05-28 13:30:00,,0.6894654886868322,0.6966409382257467,0.9290980168617177
2024-05-28 14:00:00,,0.689365921545733,0.69667124126869,0.9293275853688634
2024-05-28 14:30:00,,0.6892680632304701,0.6967010242342048,0.9295532138954906
2024-05-28 15:00:00,,0.6891719072505694,0.6967302890976528,0.9297749174064605
2024-05-28 15:30:00,,0.6890774460368873,0.6967590381626865,0.9299927133536855
2024-05-28 16:00:00,,0.688984670988307,0.696787274047037,0.9302066215684621
2024-05-28 16:30:00,,0.6888935725184663,0.6968149996682929,0.9304166641537339
2024-05-28 17:00:00,,0.6888041401023912,0.696842218229707,0.9306228653765685
2024-05-28 17:30:00,,0.6887163623229203,0.6968689332060677,0.9308252515611191
2024-05-28 18:00:00,,0.6886302269168091,0.6968951483296668,0.9310238509823243
2024-05-28 18:30:00,,0.688545720820411,0.6969208675763966,0.9312186937605809
2024-05-28 19:00:00,,0.6884628302148428,0.6969460951520043,0.9314098117576088
2024-05-28 19:30:00,,0.6883815405705428,0.6969708354785304,0.9315972384737156
2024-05-28 20:00:00,,0.6883018366911428,0.6969950931809565,0.9317810089466406
2024-05-28 20:30:00,,0.6882237027565788,0.6970188730740846,0.9319611596521568
2024-05-28 21:00:00,,0.6881471223653749,0.6970421801496685,0.9321377284065797
2024-05-28 21:30:00,,0.6880720785760361,0.6970650195638151,0.9323107542713265
2024-05-28 22:00:00,,0.6879985539475009,0.6970873966246737,0.932480277459649
2024-05-28 22:30:00,,0.6879265305786008,0.6971093167804259,0.9326463392456504
2024-05-28 23:00:00,,0.687855990146489,0.6971307856075902,0.9328089818756841
2024-05-28 23:30:00,,0.6877869139439995,0.6971518087996523,0.9329682484822146
2024-05-29 00:00:00,,0.687719282915907,0.6971723921560282,0.9331241830002145
2024-05-29 00:30:00,,0.687653077694063,0.6971925415713721,0.9332768300861524
2024-05-29 01:00:00,,0.6875882786313876,0.6972122630252299,0.9334262350396202
2024-05-29 01:30:00,,0.6875248658347004,0.6972315625720477,0.933572443727634
2024-05-29 02:00:00,,0.6874628191963819,0.6972504463315359,0.9337155025116359
2024-05-29 02:30:00,,0.6874021184248564,0.6972689204793915,0.9338554581772085
2024-05-29 03:00:00,,0.6873427430738958,0.6972869912383796,0.9339923578665119
2024-05-29 03:30:00,,0.6872846725707421,0.697304664869774,0.9341262490134404
2024-05-29 04:00:00,,0.687227886243058,0.6973219476651562,0.9342571792814869
2024-05-29 04:30:00,,0.6871723633447068,0.6973388459385674,0.9343851965042993
2024-05-29 05:00:00,,0.6871180830803771,0.6973553660190156,0.9345103486289064
2024-05-29 05:30:00,,0.6870650246290634,0.6973715142433285,0.9346326836615799
2024-05-29 06:00:00,,0.6870131671664161,0.6973872969493515,0.9347522496163
2024-05-29 06:30:00,,0.6869624898859839,0.6974027204694832,0.9348690944657817
